# Epoch Training_Error Validation_Error
0.000000000000000000e+00 1.012943162633652278e-01 2.844682048396173224e-01
1.000000000000000000e+00 5.711873944850872492e-02 2.734946539110861274e-01
2.000000000000000000e+00 3.404614518851997729e-02 2.706809229037703823e-01
3.000000000000000000e+00 2.082160945413618486e-02 2.723691615081598183e-01
4.000000000000000000e+00 1.491277433877321278e-02 2.768711311198649438e-01
5.000000000000000000e+00 1.012943162633652208e-02 2.763083849184018170e-01
6.000000000000000000e+00 7.597073719752391562e-03 2.777152504220596341e-01
7.000000000000000000e+00 5.627462014631400868e-03 2.757456387169386347e-01
8.000000000000000000e+00 5.064715813168261041e-03 2.757456387169386347e-01
9.000000000000000000e+00 3.939223410241980521e-03 2.754642656162070713e-01
1.000000000000000000e+01 2.813731007315700434e-03 2.746201463140123811e-01
1.100000000000000000e+01 2.532357906584130521e-03 2.757456387169386347e-01
1.200000000000000000e+01 2.250984805852560607e-03 2.754642656162070713e-01
1.300000000000000000e+01 2.250984805852560607e-03 2.749015194147439445e-01
1.400000000000000000e+01 1.688238604389420347e-03 2.746201463140123811e-01
1.500000000000000000e+01 1.125492402926280304e-03 2.743387732132808177e-01
1.600000000000000000e+01 8.441193021947101735e-04 2.746201463140123811e-01
1.700000000000000000e+01 5.627462014631401518e-04 2.743387732132808177e-01
1.800000000000000000e+01 5.627462014631401518e-04 2.754642656162070713e-01
1.900000000000000000e+01 5.627462014631401518e-04 2.757456387169386347e-01
2.000000000000000000e+01 5.627462014631401518e-04 2.765897580191333804e-01
2.100000000000000000e+01 5.627462014631401518e-04 2.774338773213280707e-01
2.200000000000000000e+01 5.627462014631401518e-04 2.777152504220596341e-01
2.300000000000000000e+01 2.813731007315700759e-04 2.777152504220596341e-01
2.400000000000000000e+01 2.813731007315700759e-04 2.768711311198649438e-01
2.500000000000000000e+01 2.813731007315700759e-04 2.768711311198649438e-01
2.600000000000000000e+01 2.813731007315700759e-04 2.774338773213280707e-01
2.700000000000000000e+01 2.813731007315700759e-04 2.774338773213280707e-01
2.800000000000000000e+01 2.813731007315700759e-04 2.774338773213280707e-01
2.900000000000000000e+01 2.813731007315700759e-04 2.774338773213280707e-01
3.000000000000000000e+01 2.813731007315700759e-04 2.771525042205965073e-01
3.100000000000000000e+01 0.000000000000000000e+00 2.774338773213280707e-01
3.200000000000000000e+01 0.000000000000000000e+00 2.774338773213280707e-01
3.300000000000000000e+01 0.000000000000000000e+00 2.777152504220596341e-01
3.400000000000000000e+01 0.000000000000000000e+00 2.774338773213280707e-01
3.500000000000000000e+01 0.000000000000000000e+00 2.771525042205965073e-01
3.600000000000000000e+01 0.000000000000000000e+00 2.774338773213280707e-01
3.700000000000000000e+01 0.000000000000000000e+00 2.771525042205965073e-01
3.800000000000000000e+01 0.000000000000000000e+00 2.768711311198649438e-01
3.900000000000000000e+01 0.000000000000000000e+00 2.768711311198649438e-01
