# Epoch Training_Error Validation_Error
0.000000000000000000e+00 3.044456949915588240e-01 3.531232414181204038e-01
1.000000000000000000e+00 2.436691052335396845e-01 3.323016319639842675e-01
2.000000000000000000e+00 2.110298255486775520e-01 3.190770962296004543e-01
3.000000000000000000e+00 1.888013505908835155e-01 3.089476646032639495e-01
4.000000000000000000e+00 1.710748452447946044e-01 3.038829487900956416e-01
5.000000000000000000e+00 1.561620709060213830e-01 3.019133370849746978e-01
6.000000000000000000e+00 1.451885199774901603e-01 2.993809791783905716e-01
7.000000000000000000e+00 1.359032076533483457e-01 2.982554867754642625e-01
8.000000000000000000e+00 1.285875070343275306e-01 2.948790095666854461e-01
9.000000000000000000e+00 1.204276871131119836e-01 2.940348902644907003e-01
1.000000000000000000e+01 1.145188519977490132e-01 2.920652785593697010e-01
1.100000000000000000e+01 1.077658975801913388e-01 2.870005627462014486e-01
1.200000000000000000e+01 1.032639279684862132e-01 2.858750703432751950e-01
1.300000000000000000e+01 9.707371975239166562e-02 2.858750703432751950e-01
1.400000000000000000e+01 9.172763083849183596e-02 2.847495779403488858e-01
1.500000000000000000e+01 8.694428812605514700e-02 2.830613393359595054e-01
1.600000000000000000e+01 8.328643781654473943e-02 2.816544738323016328e-01
1.700000000000000000e+01 7.990996060776589527e-02 2.802476083286437603e-01
1.800000000000000000e+01 7.625211029825548770e-02 2.782779966235228164e-01
1.900000000000000000e+01 7.371975239167136151e-02 2.771525042205965073e-01
2.000000000000000000e+01 6.978052898142937666e-02 2.768711311198649438e-01
2.100000000000000000e+01 6.612267867191896908e-02 2.774338773213280707e-01
2.200000000000000000e+01 6.246482836240855457e-02 2.771525042205965073e-01
2.300000000000000000e+01 5.936972425436128076e-02 2.751828925154755079e-01
2.400000000000000000e+01 5.824423185143499937e-02 2.749015194147439445e-01
2.500000000000000000e+01 5.543050084411930284e-02 2.743387732132808177e-01
2.600000000000000000e+01 5.402363534046145110e-02 2.751828925154755079e-01
2.700000000000000000e+01 5.374226223972988076e-02 2.726505346088913817e-01
2.800000000000000000e+01 5.205402363534045868e-02 2.723691615081598183e-01
2.900000000000000000e+01 5.064715813168261388e-02 2.712436691052335647e-01
3.000000000000000000e+01 4.755205402363534006e-02 2.706809229037703823e-01
3.100000000000000000e+01 4.586381541924591798e-02 2.703995498030388189e-01
3.200000000000000000e+01 4.445694991558807319e-02 2.698368036015756921e-01
3.300000000000000000e+01 4.305008441193022145e-02 2.695554305008441287e-01
3.400000000000000000e+01 4.248733821046708076e-02 2.689926842993810019e-01
3.500000000000000000e+01 4.136184580754079937e-02 2.689926842993810019e-01
3.600000000000000000e+01 4.023635340461451798e-02 2.681485649971862562e-01
3.700000000000000000e+01 3.854811480022509590e-02 2.684299380979178196e-01
3.800000000000000000e+01 3.714124929656725110e-02 2.678671918964546927e-01
3.900000000000000000e+01 3.601575689364096972e-02 2.673044456949915659e-01
